gene	LSH1LSH2_OE
MtrunA17_Chr1g0147421	0
MtrunA17_Chr1g0147481	0
MtrunA17_Chr1g0147491	0
MtrunA17_Chr1g0147501	0
MtrunA17_Chr1g0147511	0
MtrunA17_Chr1g0147561	0
MtrunA17_Chr1g0147601	0
MtrunA17_Chr1g0147611	0
MtrunA17_Chr1g0147651	0
MtrunA17_Chr1g0147671	0
MtrunA17_Chr1g0147691	0
MtrunA17_Chr1g0147701	1.65018086548417
MtrunA17_Chr1g0147731	0
MtrunA17_Chr1g0147741	0
MtrunA17_Chr1g0147751	0
MtrunA17_Chr1g0147811	0
MtrunA17_Chr1g0147821	0
MtrunA17_Chr1g0147881	-0.755872712197311
MtrunA17_Chr1g0147911	0
MtrunA17_Chr1g0147921	0
MtrunA17_Chr1g0147931	0
MtrunA17_Chr1g0147941	0
MtrunA17_Chr1g0147951	0
MtrunA17_Chr1g0148001	0
MtrunA17_Chr1g0148021	0
MtrunA17_Chr1g0148031	-2.84901347011172
MtrunA17_Chr1g0148051	0
MtrunA17_Chr1g0148071	-0.846423194306772
MtrunA17_Chr1g0148081	0
MtrunA17_Chr1g0148121	1.17630710942817
MtrunA17_Chr1g0148131	0
MtrunA17_Chr1g0148141	0
MtrunA17_Chr1g0148251	0
MtrunA17_Chr1g0148271	0
MtrunA17_Chr1g0148281	0
MtrunA17_Chr1g0148301	0
MtrunA17_Chr1g0148321	0
MtrunA17_Chr1g0148341	0
MtrunA17_Chr1g0148361	0.841095058501135
MtrunA17_Chr1g0148391	0
MtrunA17_Chr1g0148401	0
MtrunA17_Chr1g0148411	0.604109554946108
MtrunA17_Chr1g0148421	-0.797431274157896
MtrunA17_Chr1g0148451	0
MtrunA17_Chr1g0148461	0
MtrunA17_Chr1g0148481	0
MtrunA17_Chr1g0148491	-0.759101657515196
MtrunA17_Chr1g0148501	0
MtrunA17_Chr1g0148511	-2.09823198714118
MtrunA17_Chr1g0148521	2.17505114224653
MtrunA17_Chr1g0148541	0
MtrunA17_Chr1g0148561	0
MtrunA17_Chr1g0148571	0
MtrunA17_Chr1g0148621	0
MtrunA17_Chr1g0148641	0
MtrunA17_Chr1g0148671	0
MtrunA17_Chr1g0148681	0
MtrunA17_Chr1g0148731	1.02728400840053
MtrunA17_Chr1g0148741	0
MtrunA17_Chr1g0148751	0
MtrunA17_Chr1g0148771	0
MtrunA17_Chr1g0148811	1.76405125806053
MtrunA17_Chr1g0148841	0
MtrunA17_Chr1g0148881	0.951103774231779
MtrunA17_Chr1g0148891	0
MtrunA17_Chr1g0148901	0
MtrunA17_Chr1g0148911	0
MtrunA17_Chr1g0148921	0
MtrunA17_Chr1g0148951	0
MtrunA17_Chr1g0148961	0
MtrunA17_Chr1g0148991	0
MtrunA17_Chr1g0149051	1.01700735757153
MtrunA17_Chr1g0149101	0
MtrunA17_Chr1g0149111	0
MtrunA17_Chr1g0149141	0
MtrunA17_Chr1g0149171	0
MtrunA17_Chr1g0149191	0
MtrunA17_Chr1g0149211	0
MtrunA17_Chr1g0149221	0
MtrunA17_Chr1g0149231	0
MtrunA17_Chr1g0149251	0
MtrunA17_Chr1g0149261	0
MtrunA17_Chr1g0149281	0
MtrunA17_Chr1g0149301	0.644962129770451
MtrunA17_Chr1g0149311	0
MtrunA17_Chr1g0149341	0
MtrunA17_Chr1g0149351	0
MtrunA17_Chr1g0149381	1.24593393067222
MtrunA17_Chr1g0149401	0
MtrunA17_Chr1g0149451	0
MtrunA17_Chr1g0149461	0
MtrunA17_Chr1g0149491	0
MtrunA17_Chr1g0149501	0
MtrunA17_Chr1g0149511	0
MtrunA17_Chr1g0149561	0
MtrunA17_Chr1g0149581	0
MtrunA17_Chr1g0149611	0
MtrunA17_Chr1g0149621	0
MtrunA17_Chr1g0149641	0
MtrunA17_Chr1g0149651	0
MtrunA17_Chr1g0149671	0
MtrunA17_Chr1g0149711	0.685818631042431
MtrunA17_Chr1g0149721	0
MtrunA17_Chr1g0149751	0
MtrunA17_Chr1g0149761	0
MtrunA17_Chr1g0149771	0
MtrunA17_Chr1g0149781	0
MtrunA17_Chr1g0149791	0
MtrunA17_Chr1g0149801	0
MtrunA17_Chr1g0149811	0
MtrunA17_Chr1g0149821	0
MtrunA17_Chr1g0149941	0
MtrunA17_Chr1g0149961	2.76151996752592
MtrunA17_Chr1g0149971	0
MtrunA17_Chr1g0150001	0
MtrunA17_Chr1g0150031	0
MtrunA17_Chr1g0150041	0
MtrunA17_Chr1g0150061	0
MtrunA17_Chr1g0150071	-0.613958373362454
MtrunA17_Chr1g0150111	0
MtrunA17_Chr1g0150131	0
MtrunA17_Chr1g0150151	-0.750481974931864
MtrunA17_Chr1g0150171	0.73020053989057
MtrunA17_Chr1g0150191	0
MtrunA17_Chr1g0150221	0
MtrunA17_Chr1g0150241	0
MtrunA17_Chr1g0150261	0.689412537804275
MtrunA17_Chr1g0150271	-1.42609448316078
MtrunA17_Chr1g0150281	-2.36244339050453
MtrunA17_Chr1g0150321	1.02036915087166
MtrunA17_Chr1g0150331	0
MtrunA17_Chr1g0150341	-1.32763156040836
MtrunA17_Chr1g0150351	0
MtrunA17_Chr1g0150371	0
MtrunA17_Chr1g0150461	0
MtrunA17_Chr1g0150471	0.611568240893835
MtrunA17_Chr1g0150511	-0.587346357560365
MtrunA17_Chr1g0150531	-0.936669551282602
MtrunA17_Chr1g0150561	0
MtrunA17_Chr1g0150581	0
MtrunA17_Chr1g0150641	-0.949673323385832
MtrunA17_Chr1g0150651	0
MtrunA17_Chr1g0150681	0
MtrunA17_Chr1g0150711	0
MtrunA17_Chr1g0150731	0
MtrunA17_Chr1g0150741	-0.702510029440408
MtrunA17_Chr1g0150751	0
MtrunA17_Chr1g0150771	0
MtrunA17_Chr1g0150781	0
MtrunA17_Chr1g0150801	-1.12131557200963
MtrunA17_Chr1g0150811	0
MtrunA17_Chr1g0150821	0
MtrunA17_Chr1g0150831	0
MtrunA17_Chr1g0150851	0
MtrunA17_Chr1g0150941	0
MtrunA17_Chr1g0150981	0
MtrunA17_Chr1g0151021	0
MtrunA17_Chr1g0151041	0
MtrunA17_Chr1g0151061	0
MtrunA17_Chr1g0151071	0
MtrunA17_Chr1g0151081	0
MtrunA17_Chr1g0151141	0
MtrunA17_Chr1g0151161	0
MtrunA17_Chr1g0151181	-0.843159108038771
MtrunA17_Chr1g0151191	0
MtrunA17_Chr1g0151201	0
MtrunA17_Chr1g0151221	0
MtrunA17_Chr1g0151231	1.18229163802246
MtrunA17_Chr1g0151241	-1.33746573418116
MtrunA17_Chr1g0151251	0
MtrunA17_Chr1g0151261	0
MtrunA17_Chr1g0151281	-1.26873644897857
MtrunA17_Chr1g0151301	-1.05193843716698
MtrunA17_Chr1g0151321	-0.712730266069482
MtrunA17_Chr1g0151351	2.40683710606747
MtrunA17_Chr1g0151361	0
MtrunA17_Chr1g0151391	0.845023713809284
MtrunA17_Chr1g0151401	0
MtrunA17_Chr1g0151411	-0.880724144475461
MtrunA17_Chr1g0151431	1.08128038065659
MtrunA17_Chr1g0151461	2.25769809282159
MtrunA17_Chr1g0151481	0
MtrunA17_Chr1g0151511	0
MtrunA17_Chr1g0151531	0
MtrunA17_Chr1g0151551	0
MtrunA17_Chr1g0151561	0
MtrunA17_Chr1g0151581	0.947191215392377
MtrunA17_Chr1g0151591	0
MtrunA17_Chr1g0151621	0
MtrunA17_Chr1g0151631	0
MtrunA17_Chr1g0151661	-2.30345809609375
MtrunA17_Chr1g0151681	0
MtrunA17_Chr1g0151691	0
MtrunA17_Chr1g0151731	0
MtrunA17_Chr1g0151771	0
MtrunA17_Chr1g0151781	-1.6566201759266
MtrunA17_Chr1g0151791	0
MtrunA17_Chr1g0151801	0
MtrunA17_Chr1g0151811	0
MtrunA17_Chr1g0151821	0.993572951755124
MtrunA17_Chr1g0151881	0
MtrunA17_Chr1g0151911	0
MtrunA17_Chr1g0151941	-1.25405053078379
MtrunA17_Chr1g0151951	0
MtrunA17_Chr1g0151961	0
MtrunA17_Chr1g0151971	0
MtrunA17_Chr1g0152011	0
MtrunA17_Chr1g0152021	0
MtrunA17_Chr1g0152031	0
MtrunA17_Chr1g0152051	0
MtrunA17_Chr1g0152061	0
MtrunA17_Chr1g0152081	0
MtrunA17_Chr1g0152131	0
MtrunA17_Chr1g0152141	0
MtrunA17_Chr1g0152151	0
MtrunA17_Chr1g0152161	0
MtrunA17_Chr1g0152171	0
MtrunA17_Chr1g0152191	0
MtrunA17_Chr1g0152201	-1.16533856915091
MtrunA17_Chr1g0152221	1.2782397701777
MtrunA17_Chr1g0152231	0
MtrunA17_Chr1g0152241	0
MtrunA17_Chr1g0152291	0
MtrunA17_Chr1g0152301	0
MtrunA17_Chr1g0152341	0
MtrunA17_Chr1g0152351	0
MtrunA17_Chr1g0152371	0
MtrunA17_Chr1g0152381	0
MtrunA17_Chr1g0152401	2.62026484062957
MtrunA17_Chr1g0152411	0
MtrunA17_Chr1g0152431	0
MtrunA17_Chr1g0152461	-0.634345919170073
MtrunA17_Chr1g0152471	0
MtrunA17_Chr1g0152481	0
MtrunA17_Chr1g0152491	1.69041205017658
MtrunA17_Chr1g0152501	0
MtrunA17_Chr1g0152511	0
MtrunA17_Chr1g0152551	0
MtrunA17_Chr1g0152561	0
MtrunA17_Chr1g0152571	0
MtrunA17_Chr1g0152591	0
MtrunA17_Chr1g0152651	-0.666735692052128
MtrunA17_Chr1g0152661	0
MtrunA17_Chr1g0152681	0
MtrunA17_Chr1g0152691	-1.61065506322639
MtrunA17_Chr1g0152701	1.03302427764201
MtrunA17_Chr1g0152721	0
MtrunA17_Chr1g0152751	0
MtrunA17_Chr1g0152761	0
MtrunA17_Chr1g0152781	0
MtrunA17_Chr1g0152791	2.21548432646817
MtrunA17_Chr1g0152811	0
MtrunA17_Chr1g0152831	2.50125263869746
MtrunA17_Chr1g0152851	1.86389988754965
MtrunA17_Chr1g0152871	0
MtrunA17_Chr1g0152901	0
MtrunA17_Chr1g0152921	0
MtrunA17_Chr1g0152931	0
MtrunA17_Chr1g0152971	0
MtrunA17_Chr1g0153001	0
MtrunA17_Chr1g0153011	0
MtrunA17_Chr1g0153041	0.841246920835137
MtrunA17_Chr1g0153061	0
MtrunA17_Chr1g0153131	0
MtrunA17_Chr1g0153151	0
MtrunA17_Chr1g0153171	0
MtrunA17_Chr1g0153181	0
MtrunA17_Chr1g0153241	0
MtrunA17_Chr1g0153271	-0.788840283033627
MtrunA17_Chr1g0153281	0
MtrunA17_Chr1g0153291	0
MtrunA17_Chr1g0153331	-1.01218902908459
MtrunA17_Chr1g0153371	1.48900225194855
MtrunA17_Chr1g0153381	0
MtrunA17_Chr1g0153391	0
MtrunA17_Chr1g0153431	0
MtrunA17_Chr1g0153451	1.61486013230262
MtrunA17_Chr1g0153481	0
MtrunA17_Chr1g0153501	0
MtrunA17_Chr1g0153511	0
MtrunA17_Chr1g0153541	0
MtrunA17_Chr1g0153551	0
MtrunA17_Chr1g0153561	0
MtrunA17_Chr1g0153581	0
MtrunA17_Chr1g0153591	0
MtrunA17_Chr1g0153601	0
MtrunA17_Chr1g0153651	0
MtrunA17_Chr1g0153661	0
MtrunA17_Chr1g0153671	0
MtrunA17_Chr1g0153681	0
MtrunA17_Chr1g0153701	0
MtrunA17_Chr1g0153711	0
MtrunA17_Chr1g0153721	0
MtrunA17_Chr1g0153751	0
MtrunA17_Chr1g0153781	0.721503147795663
MtrunA17_Chr1g0153791	0
MtrunA17_Chr1g0153821	0
MtrunA17_Chr1g0153841	0
MtrunA17_Chr1g0153871	0
MtrunA17_Chr1g0153881	0
MtrunA17_Chr1g0153901	0
MtrunA17_Chr1g0153911	0
MtrunA17_Chr1g0153951	0
MtrunA17_Chr1g0153961	0
MtrunA17_Chr1g0153981	0
MtrunA17_Chr1g0153991	0
MtrunA17_Chr1g0154031	0
MtrunA17_Chr1g0154041	0
MtrunA17_Chr1g0154071	0
MtrunA17_Chr1g0154101	0
MtrunA17_Chr1g0154111	0
MtrunA17_Chr1g0154131	0
MtrunA17_Chr1g0154171	0
MtrunA17_Chr1g0154191	0
MtrunA17_Chr1g0154211	0
MtrunA17_Chr1g0154221	1.44739594608647
MtrunA17_Chr1g0154241	0
MtrunA17_Chr1g0154251	0
MtrunA17_Chr1g0154261	0
MtrunA17_Chr1g0154281	0
MtrunA17_Chr1g0154291	0
MtrunA17_Chr1g0154301	0
MtrunA17_Chr1g0154311	0
MtrunA17_Chr1g0154321	0
MtrunA17_Chr1g0154351	0
MtrunA17_Chr1g0154361	0.881998064670465
MtrunA17_Chr1g0154371	0
MtrunA17_Chr1g0154421	0
MtrunA17_Chr1g0154431	0
MtrunA17_Chr1g0154441	0
MtrunA17_Chr1g0154451	1.39240934047692
MtrunA17_Chr1g0154461	0
MtrunA17_Chr1g0154501	0
MtrunA17_Chr1g0154511	0
MtrunA17_Chr1g0154521	0
MtrunA17_Chr1g0154531	0
MtrunA17_Chr1g0154541	0
MtrunA17_Chr1g0154551	0
MtrunA17_Chr1g0154561	0
MtrunA17_Chr1g0154571	0
MtrunA17_Chr1g0154581	0
MtrunA17_Chr1g0154601	0
MtrunA17_Chr1g0154611	0
MtrunA17_Chr1g0154621	0
MtrunA17_Chr1g0154671	-0.60138496706959
MtrunA17_Chr1g0154681	0
MtrunA17_Chr1g0154731	0
MtrunA17_Chr1g0154741	0
MtrunA17_Chr1g0154751	0
MtrunA17_Chr1g0154851	0
MtrunA17_Chr1g0154931	0.770582594728761
MtrunA17_Chr1g0154941	0
MtrunA17_Chr1g0154951	0
MtrunA17_Chr1g0154961	0
MtrunA17_Chr1g0154991	0
MtrunA17_Chr1g0155001	0
MtrunA17_Chr1g0155011	0
MtrunA17_Chr1g0155031	0
MtrunA17_Chr1g0155041	0
MtrunA17_Chr1g0155061	0
MtrunA17_Chr1g0155081	0
MtrunA17_Chr1g0155101	0
MtrunA17_Chr1g0155111	0
MtrunA17_Chr1g0155121	-1.78210126408034
MtrunA17_Chr1g0155131	0
MtrunA17_Chr1g0155141	0
MtrunA17_Chr1g0155151	0
MtrunA17_Chr1g0155161	0
MtrunA17_Chr1g0155191	0
MtrunA17_Chr1g0155201	0
MtrunA17_Chr1g0155211	0
MtrunA17_Chr1g0155221	-0.657142009940209
MtrunA17_Chr1g0155231	0
MtrunA17_Chr1g0155251	0
MtrunA17_Chr1g0155261	0
MtrunA17_Chr1g0155271	0
MtrunA17_Chr1g0155291	-0.60114789879488
MtrunA17_Chr1g0155301	0
MtrunA17_Chr1g0155311	1.30722364577687
MtrunA17_Chr1g0155321	1.49630930858563
MtrunA17_Chr1g0155331	0
MtrunA17_Chr1g0155341	-0.982376535810991
MtrunA17_Chr1g0155351	0
MtrunA17_Chr1g0155361	0
MtrunA17_Chr1g0155371	0
MtrunA17_Chr1g0155381	0
MtrunA17_Chr1g0155401	1.98379739881518
MtrunA17_Chr1g0155441	0.706626171911617
MtrunA17_Chr1g0155451	-2.15212301545919
MtrunA17_Chr1g0155511	0
MtrunA17_Chr1g0155521	0
MtrunA17_Chr1g0155531	0
MtrunA17_Chr1g0155541	1.40136455882704
MtrunA17_Chr1g0155551	0
MtrunA17_Chr1g0155591	0
MtrunA17_Chr1g0155601	0
MtrunA17_Chr1g0155611	0
MtrunA17_Chr1g0155621	0
MtrunA17_Chr1g0155631	0
MtrunA17_Chr1g0155641	0
MtrunA17_Chr1g0155651	0
MtrunA17_Chr1g0155661	0
MtrunA17_Chr1g0155681	0
MtrunA17_Chr1g0155691	0
MtrunA17_Chr1g0155701	0
MtrunA17_Chr1g0155721	0
MtrunA17_Chr1g0155761	0
MtrunA17_Chr1g0155771	0
MtrunA17_Chr1g0155781	0
MtrunA17_Chr1g0155791	0
MtrunA17_Chr1g0155811	0
MtrunA17_Chr1g0155831	-0.721112372616734
MtrunA17_Chr1g0155861	0
MtrunA17_Chr1g0155871	0
MtrunA17_Chr1g0155921	0
MtrunA17_Chr1g0155971	0
MtrunA17_Chr1g0155981	0
MtrunA17_Chr1g0156041	0
MtrunA17_Chr1g0156081	0
MtrunA17_Chr1g0156101	0
MtrunA17_Chr1g0156121	0
MtrunA17_Chr1g0156141	0
MtrunA17_Chr1g0156171	0
MtrunA17_Chr1g0156211	0
MtrunA17_Chr1g0156221	0
MtrunA17_Chr1g0156231	0
MtrunA17_Chr1g0156271	0
MtrunA17_Chr1g0156281	0
MtrunA17_Chr1g0156321	0
MtrunA17_Chr1g0156341	0
MtrunA17_Chr1g0156371	0
MtrunA17_Chr1g0156381	0
MtrunA17_Chr1g0156421	0
MtrunA17_Chr1g0156431	0
MtrunA17_Chr1g0156441	0
MtrunA17_Chr1g0156451	0
MtrunA17_Chr1g0156461	0
MtrunA17_Chr1g0156471	0
MtrunA17_Chr1g0156491	2.68986103806054
MtrunA17_Chr1g0156501	0
MtrunA17_Chr1g0156511	0
MtrunA17_Chr1g0156521	0
MtrunA17_Chr1g0156541	0
MtrunA17_Chr1g0156551	0
MtrunA17_Chr1g0156571	0
MtrunA17_Chr1g0156581	0
MtrunA17_Chr1g0156591	0
MtrunA17_Chr1g0156621	-1.52422340630112
MtrunA17_Chr1g0156641	0
MtrunA17_Chr1g0156671	0
MtrunA17_Chr1g0156691	-1.70375206469583
MtrunA17_Chr1g0156701	-1.81426396729042
MtrunA17_Chr1g0156711	0
MtrunA17_Chr1g0156731	0
MtrunA17_Chr1g0156781	-1.09987061307145
MtrunA17_Chr1g0156791	0
MtrunA17_Chr1g0156811	0
MtrunA17_Chr1g0156861	0
MtrunA17_Chr1g0157021	0
MtrunA17_Chr1g0157051	-1.02612231220455
MtrunA17_Chr1g0157071	0
MtrunA17_Chr1g0157081	0
MtrunA17_Chr1g0157091	-0.636383712310188
MtrunA17_Chr1g0157101	0
MtrunA17_Chr1g0157131	0
MtrunA17_Chr1g0157151	0
MtrunA17_Chr1g0157181	0
MtrunA17_Chr1g0157191	0
MtrunA17_Chr1g0157201	0.683358992326843
MtrunA17_Chr1g0157211	0.761951767228778
MtrunA17_Chr1g0157221	1.58778682215952
MtrunA17_Chr1g0157231	0
MtrunA17_Chr1g0157241	0
MtrunA17_Chr1g0157251	0
MtrunA17_Chr1g0157291	0
MtrunA17_Chr1g0157301	0
MtrunA17_Chr1g0157311	0.667827799393966
MtrunA17_Chr1g0157341	0
MtrunA17_Chr1g0157401	-0.723870082821378
MtrunA17_Chr1g0157411	0
MtrunA17_Chr1g0157421	0
MtrunA17_Chr1g0157441	0
MtrunA17_Chr1g0157451	0
MtrunA17_Chr1g0157461	0
MtrunA17_Chr1g0157501	0
MtrunA17_Chr1g0157521	0
MtrunA17_Chr1g0157601	0
MtrunA17_Chr1g0157611	0
MtrunA17_Chr1g0157631	0
MtrunA17_Chr1g0157641	0
MtrunA17_Chr1g0157651	0
MtrunA17_Chr1g0157681	1.50997970907196
MtrunA17_Chr1g0157691	0
MtrunA17_Chr1g0157721	0
MtrunA17_Chr1g0157731	0
MtrunA17_Chr1g0157741	0
MtrunA17_Chr1g0157751	0
MtrunA17_Chr1g0157781	1.09074179949797
MtrunA17_Chr1g0157791	1.03011807748035
MtrunA17_Chr1g0157801	0
MtrunA17_Chr1g0157811	0.910851248968904
MtrunA17_Chr1g0157841	0
MtrunA17_Chr1g0157851	0
MtrunA17_Chr1g0157861	0.754519458373714
MtrunA17_Chr1g0157871	0
MtrunA17_Chr1g0157881	0.909038672619754
MtrunA17_Chr1g0157891	0
MtrunA17_Chr1g0157901	0
MtrunA17_Chr1g0157911	0.966247297731389
MtrunA17_Chr1g0157931	1.20288679605722
MtrunA17_Chr1g0157941	0
MtrunA17_Chr1g0157951	0
MtrunA17_Chr1g0157961	0
MtrunA17_Chr1g0157971	1.71904315893084
MtrunA17_Chr1g0157981	0
MtrunA17_Chr1g0158041	0
MtrunA17_Chr1g0158131	0
MtrunA17_Chr1g0158141	0
MtrunA17_Chr1g0158151	1.16045058099631
MtrunA17_Chr1g0158191	0
MtrunA17_Chr1g0158201	0
MtrunA17_Chr1g0158231	0
MtrunA17_Chr1g0158251	0
MtrunA17_Chr1g0158261	2.74702038042327
MtrunA17_Chr1g0158301	-0.599386979912385
MtrunA17_Chr1g0158311	0
MtrunA17_Chr1g0158331	0
MtrunA17_Chr1g0158341	0
MtrunA17_Chr1g0158391	-0.77778980681058
MtrunA17_Chr1g0158411	0.858813826468556
MtrunA17_Chr1g0158441	0
MtrunA17_Chr1g0158461	0
MtrunA17_Chr1g0158471	0
MtrunA17_Chr1g0158481	0
MtrunA17_Chr1g0158491	0
MtrunA17_Chr1g0158501	2.98817196605243
MtrunA17_Chr1g0158511	1.59836756151055
MtrunA17_Chr1g0158531	-1.30057421223699
MtrunA17_Chr1g0158541	3.06736447609191
MtrunA17_Chr1g0158571	0
MtrunA17_Chr1g0158611	0
MtrunA17_Chr1g0158621	0
MtrunA17_Chr1g0158631	-1.45597363547774
MtrunA17_Chr1g0158651	0
MtrunA17_Chr1g0158661	1.76898886346899
MtrunA17_Chr1g0158711	0
MtrunA17_Chr1g0158731	0
MtrunA17_Chr1g0158761	1.09062812377332
